Date,Supply Power,Load Power,Temperature,Holiday
20200322,29174.0,26088.0,25.38116998146103,2
20200323,33143.0,29372.0,23.16906194374602,0
20200324,33595.0,29470.0,23.008974510704448,0
20200325,33615.0,30038.0,24.5196267153716,0
20200326,34029.0,30842.0,26.4456588221457,0
20200327,34524.0,31260.0,25.647315525132502,0
20200328,29959.0,25893.0,20.546890078662948,2
20200329,28641.0,25152.0,19.255272114179657,2
20200330,32224.0,28716.0,21.472025506237568,0
20200331,32484.0,29162.0,22.547661276842167,0
20200401,32373.0,28278.0,20.374151692706302,0
20200402,29551.0,25443.0,20.20777675901412,2
20200403,28869.0,25120.0,21.05467099061198,2
20200404,28652.0,24238.0,19.819949781903638,2
20200405,28596.0,24347.0,18.892213797493234,2
20200406,32300.0,28246.0,18.822204189473407,0
20200407,32145.0,28108.0,18.393653147242706,0
20200408,31610.0,28246.0,19.944653518315697,0
20200409,31963.0,28285.0,21.50359355476734,0
20200410,33120.0,28470.0,23.286523255242866,0
20200411,28931.0,25752.0,21.625236443588005,2
20200412,27413.0,24604.0,17.60645827863111,2
20200413,30942.0,27614.0,18.006969560577282,0
20200414,31447.0,27884.0,20.55171607038411,0
20200415,31679.0,28182.0,21.8726544159368,0
20200416,31672.0,28528.0,22.890736710470655,0
20200417,32599.0,28990.0,23.94290026417926,0
20200418,30146.0,26657.0,25.34060915909918,2
20200419,29546.0,26518.0,26.087502259190483,2
20200420,34077.0,29986.0,25.246875051032475,0
20200421,34362.0,29986.0,23.93795126240353,0
20200422,32626.0,28595.0,21.335128098470182,0
20200423,31998.0,28050.0,19.804166023695704,0
20200424,31626.0,27678.0,18.547698433071357,0
20200425,28825.0,25659.0,21.591247466419176,2
20200426,28230.0,25110.0,22.6365570934055,2
20200427,32516.0,28706.0,23.510504044585517,0
20200428,33642.0,28955.0,24.66358548865457,0
20200429,32878.0,29532.0,25.519155715059245,0
20200430,34477.0,29613.0,25.90759303904499,0
20200501,30298.0,26786.0,26.684127586723402,0
20200502,29887.0,26473.0,27.36269745783502,2
20200503,29782.0,26815.0,27.730154833523883,2
20200504,35816.0,32340.0,28.67913804643128,0
20200505,36721.0,33321.0,28.7733501151048,0
20200506,36390.0,32964.0,27.761132890064108,0
20200507,36246.0,32510.0,27.369631623663608,0
20200508,37205.0,33791.0,28.646650621291904,0
20200509,33523.0,29700.0,29.639108341019934,2
20200510,32439.0,29424.0,29.167960253905182,2
20200511,36553.0,33203.0,27.39189266981299,0
20200512,35739.0,31973.0,25.236840985345275,0
20200513,36463.0,32264.0,27.071330143463413,0
20200514,36824.0,33442.0,28.405410350642878,0
20200515,37409.0,33787.0,28.999322937050987,0
20200516,33975.0,30028.0,28.055642844661335,2
20200517,32935.0,28694.0,28.4703947422743,2
20200518,36888.0,32803.0,26.772234810487635,0
20200519,35962.0,31336.0,24.248010153956457,0
20200520,36458.0,31507.0,25.06839310715557,0
20200521,35554.0,31571.0,25.138504593580272,0
20200522,34567.0,30892.0,24.4573068993827,0
20200523,30959.0,26898.0,24.620494152771613,2
20200524,31194.0,26905.0,26.731812447832198,2
20200525,36380.0,32438.0,27.50358312655815,0
20200526,36459.0,32896.0,27.69587771973659,0
20200527,36376.0,31444.0,25.048465056294283,0
20200528,36780.0,31519.0,24.874943826815155,0
20200529,36642.0,32544.0,26.494222233883878,0
20200530,32699.0,28513.0,28.495008422996055,2
